t,gt_x,gt_y,gt_theta,gt_psi1,odom_x,odom_y,odom_theta,odom_psi1,v_cmd,w_cmd
9.999999999999998890e-01,1.532766626316496961e+00,1.035278138927834490e+00,9.964385658164644222e-02,6.991204848941741379e-02,1.532870249420887898e+00,1.033126607534557762e+00,9.964385658164638671e-02,7.094722781033084569e-02,4.953414583350842504e-01,2.927048054188268952e-02
1.099999999999999867e+00,1.582128182196103738e+00,1.040267603064836122e+00,1.020748551887854377e-01,6.880668580363241693e-02,1.582237246019020160e+00,1.038062070856859753e+00,1.020748551887853822e-01,6.976367415944373374e-02,4.961309455502431742e-01,2.430998607138998291e-02
1.199999999999999956e+00,1.631543200557266315e+00,1.045374658014236458e+00,1.040965738345084740e-01,6.735179013097032652e-02,1.631656898524443733e+00,1.043124168083623848e+00,1.040965738345084046e-01,6.822637378642715245e-02,4.967823348399212913e-01,2.021718645723016849e-02
1.300000000000000044e+00,1.681002082439421397e+00,1.050579721846381931e+00,1.057803132982400723e-01,6.563540240872361986e-02,1.681119715780913459e+00,1.048291756887532067e+00,1.057803132982400585e-01,6.642562818388694779e-02,4.973202454146821161e-01,1.683739463731648289e-02
1.400000000000000133e+00,1.730497004012581552e+00,1.055866560223523543e+00,1.071847079341535919e-01,6.372866162837784176e-02,1.730617972660276171e+00,1.053547314957506087e+00,1.071847079341535502e-01,6.443433607795391593e-02,4.977648365164262789e-01,1.404394635913486233e-02
1.500000000000000222e+00,1.780021575816606916e+00,1.061221711568514969e+00,1.083580130381709278e-01,6.168889052157716657e-02,1.780145367825548108e+00,1.058876317515106580e+00,1.083580130381709000e-01,6.231117254420118906e-02,4.981326269294069076e-01,1.173305104017344225e-02
1.600000000000000311e+00,1.829570570466329427e+00,1.066634009743307798e+00,1.093399734078335239e-01,5.956212292887080872e-02,1.829696751206684402e+00,1.064266720559517099e+00,1.093399734078335517e-01,6.010319358327156913e-02,4.984371615324784677e-01,9.819603696626516554e-03
1.700000000000000400e+00,1.879139704231023833e+00,1.072094188410597893e+00,1.101633509339889350e-01,5.738517369452143108e-02,1.879267906059845394e+00,1.069708532654779942e+00,1.101633509339890182e-01,5.784796962484584082e-02,4.986895539668158017e-01,8.233775261554663813e-03
1.800000000000000488e+00,1.928725461228655735e+00,1.077594553535208277e+00,1.108551743577667337e-01,5.518733384517578860e-02,1.928855374010165269e+00,1.075193460556700398e+00,1.108551743577667614e-01,5.557533297797941085e-02,4.988989288235901598e-01,6.918234237777376450e-03
1.900000000000000577e+00,1.978324951487048899e+00,1.083128712549387140e+00,1.114377624645184472e-01,5.299175890676408041e-02,1.978456314119341419e+00,1.080714616225238789e+00,1.114377624645184334e-01,5.330880900481074769e-02,4.990727822302392092e-01,5.825881067516691658e-03
